store_id,store_name,phone,source_type,source_notion_page_id,final_destination_store,branch_match,decision
"039652f6eff5f6d7","맛집남도밀면","0616551097","notion-exact-phone-page","31eda158dd2a807497d0f40efbffe863","맛집남도밀면 전화","true","restore"
"92c0c6cc2688ef0d","미미꼬마김밥 여서점","0616510600","notion-exact-phone-page","34bda158dd2a803181cfcd0961723de6","미미꼬마김밥 여서점 전화","true","restore"
"7a151d290e01dc51","미치게 본점","0616554848","notion-exact-phone-page","2feda158dd2a80ffb982dc9d185549c1","미치게 본점 전화","true","restore"
"0619092f600c5be4","배스킨라빈스 여수여서점","0616513336","notion-exact-phone-page","33eda158dd2a80f9bed6d4fa26748a35","배스킨라빈스 여수여서점 전화","true","restore"
"0987413e7ca12e2a","백년족발","01057337868","notion-exact-phone-page","2f8da158dd2a80cd9820d4be394b4690","백년족발 전화","true","restore"
"6c3386fc9f4a5b5b","백수초밥","0616511133","notion-exact-phone-page","2feda158dd2a8046b543d011261661f7","백수초밥 전화","true","restore"
"40c638502decc604","백억 흑미 꼬마김밥","0616510552","notion-exact-phone-page","31fda158dd2a80ed96add2e73c3a238e","백억 흑미 꼬마김밥 전화","true","restore"
"57ae8848b4ccc2a1","본스치킨 미평점","0616550992","notion-exact-phone-page","31fda158dd2a80f3b117c2e1dcbfbb9c","본스치킨 미평점 전화","true","restore"
"7c03a236a9c011b4","봉구스밥버거 문수점","0616532580","notion-exact-phone-page","2ffda158dd2a80579e07d029535d9623","봉구스밥버거 문수점 전화","true","restore"
"c1a35b0c8903cd57","북촌손만두&피냉면 여수문수점","01029568593","notion-exact-phone-page","2feda158dd2a80209ca2ca42c075c058","북촌손만두&피냉면 여수문수점 전화","true","restore"
"f14bc5ec109f3af0","빵빵김밥 여서점","07086912925","notion-exact-phone-page","2fcda158dd2a8085a4ceda798fdc86e3","빵빵김밥 여서점 전화","true","restore"
"9509311543276bbf","삼첩분식 미평점","0618100222","notion-exact-phone-page","317da158dd2a8066a910ecb05a2cc970","삼첩분식 미평점 전화","true","restore"
"90cd1600c54ce7d0","서영이네김밥 미평점","0619205337","notion-exact-phone-page","2feda158dd2a808fb955e885949345c9","서영이네김밥 미평점 전화","true","restore"
"c59a5a8f5a91ce24","수해복마라탕 여수미평점","0616513838","notion-exact-phone-page","31eda158dd2a8094a4afdc557c87cdd5","수해복마라탕 여수미평점 전화","true","restore"
"1945b6a42e0da33c","쉐프의 생 안심탕수육 문수점","0616540172","notion-exact-phone-page","303da158dd2a80a9bdefddeb6b3fb4c3","쉐프의 생 안심탕수육 문수점 전화","true","restore"
"4d45e2363f0a18dd","아구회관","0616529243","notion-exact-phone-page","34bda158dd2a800b958cf1d70449bdce","아구회관 전화","true","restore"
"170c2c5b7b5a24c1","양지골수육","0616925436","notion-exact-phone-page","31fda158dd2a80d8a1b0ca7fa86f175c","양지골수육 전화","true","restore"
"a60a8b15c1648b9b","여수 돌산 꽈배기","01047984064","notion-exact-phone-page","302da158dd2a80178c4eded183e5b4a3","여수 돌산 꽈배기 전화","true","restore"
"48a8921c93fca359","여수대표치킨","01085789299","notion-exact-phone-page","324da158dd2a80989acaf1f4dab756fc","여수대표치킨 전화","true","restore"
"b878080708bef825","여수싱싱회&육회 문수본점","050713220826","notion-exact-phone-page","300da158dd2a80c1afb4e3638006e2ec","여수싱싱회&육회 문수본점 전화","true","restore"
"6739ddf6736ef934","여수하늘","050713332871","notion-exact-phone-page","2ffda158dd2a80a998ead743e8141ef4","여수하늘 전화","true","restore"
"115416d8f8939ff3","여정식당 여문점","0616528878","notion-exact-phone-page","2f3da158dd2a8068b37ed1d91bb6df8b","여정식당 여문점 전화","true","restore"
"9949709e121ff949","연변양꼬치구이 미평점","0616537070","notion-exact-phone-page","30cda158dd2a80ca96b1e16b4836d75d","연변양꼬치구이 미평점 전화","true","restore"
"a8218795099e637e","오늘은 오므라이스 여수점","01027791183","notion-exact-phone-page","30cda158dd2a80549acef85398d8f6ed","오늘은 오므라이스 여수점 전화","true","restore"
"48033be58064b50c","오븐에꾸운닭 여문점","0616515992","notion-exact-phone-page","2fcda158dd2a8030b38fd4083b16b116","오븐에꾸운닭 여문점 전화","true","restore"
"b05ef0b1b1774d35","올떡볶이 여수봉계점","0619207667","notion-exact-phone-page","31eda158dd2a807097c0fc7bb9c7604a","올떡볶이 여수봉계점 전화","true","restore"
"8f4cfdc693976989","우정통닭","0616525959","notion-exact-phone-page","2ebda158dd2a80c998b4dad2977850bf","우정통닭 전화","true","restore"
"a4aaeb8049d4e9f9","우쿠야 여수여서점","0618103747","notion-exact-phone-page","304da158dd2a803fb002eafd5e0640c5","우쿠야 여수여서점 전화","true","restore"
"49470f61773e41e2","유림식당","0616518186","notion-exact-phone-page","31eda158dd2a80509fe3ed3afd4707ff","유림식당 전화","true","restore"
"2fb0f76b3d55052b","윤가네 선어","0616534904","notion-exact-phone-page","349da158dd2a80cea52dd01c1b3765f8","윤가네 선어 전화","true","restore"
