store_id,store_name,phone,source_type,source_notion_page_id,final_destination_store,branch_match,decision
"88b98e5ecb968c2c","맥도날드 여수미평DT점","","notion-exact-phone-page","370da158dd2a804d8e52e3bb605e5def","맥도날드 고객센터·땡겨요 고객센터","false","reject-not-store-phone"
"8dfdc5de41e3eca9","맥도날드 여수학동DT점","","notion-exact-phone-page","372da158dd2a80b1bda8cd31c039dba8","맥도날드 고객센터·땡겨요 고객센터","false","reject-not-store-phone"
"0abd7147b7d6b1dd","비비큐 미평둔덕점","0616527111","notion-exact-phone-page","2f2da158dd2a804c8186c3415dc539b3","비비큐 미평둔덕점 전화 주문","true","restore"
"d86586aaef8454c9","조선밀면&냉면 여수여서점","01023113511","notion-exact-phone-page","315da158dd2a805886ecebb495cf36d0","조선밀면&냉면 여수여서점 전화 주문","true","restore"
"14feb7cbd67ef7e2","1인피자 미니8 여수점","0616540172","notion-exact-phone-page","302da158dd2a8027b3e4c40cc53df4d4","1인피자 미니8 여수점 전화","true","restore"
"068b2ae8fe32874a","1인피자 피자먹다 여수여서점","0616551082","notion-exact-phone-page","2feda158dd2a80848c2cdcf0f8f87559","1인피자 피자먹다 여수여서점 전화","true","restore"
"361f855efc21c1c2","가마치통닭 여서점","0616518292","notion-exact-phone-page","2f3da158dd2a80eca915ec9a4aa16472","가마치통닭 여서점 전화","true","restore"
"7432d966de3f75ab","감탄떡볶이 문수점","0616510770","notion-exact-phone-page","2fdda158dd2a80f29836ff6504046c8c","감탄떡볶이 문수점 전화","true","restore"
"e57c51a4f6294349","계근상 여수본점(문수동)","01066030342","notion-exact-phone-page","302da158dd2a802187c7dc8b37bc6a88","계근상 여수본점 전화","true","restore"
"f7385d8006310630","국민학교","0616521272","notion-exact-phone-page","31fda158dd2a80c0bd2afde21f3f5449","국민학교 전화","true","restore"
"f6d0e57091aa21ab","굽네치킨&피자 문수점","0616510017","notion-exact-phone-page","349da158dd2a80c5bcafe9446cad4ce8","굽네치킨&피자 여수문수점 전화","true","restore"
"895a9425dc41ddf7","금성칡냉면 미평점","0616543221","notion-exact-phone-page","324da158dd2a8062b12addfd7116c7af","금성칡냉면 미평점 전화","true","restore"
"450eb70e506c2de9","금쪽갈비 여수점","0616521766","notion-exact-phone-page","2feda158dd2a8034bf04dbbfe09e8024","금쪽갈비 여수점 전화","true","restore"
"888abbb8bf28aa2f","김종구식 맛치킨 전기바베큐 옛날통닭 여서점","0616524199","notion-exact-phone-page","34bda158dd2a8098ba3cde1e7a37bcf5","김종구 식맛치킨 전기바베큐 옛날통닭 여수여서점 전화","true","restore"
"ec69425551829f69","까치식당 문수점","0616524346","notion-exact-phone-page","2ffda158dd2a80dcac1ec76d49d6d7f6","까치식당 전화","true","restore"
"0d3062d5a5b94697","다기야치킨 여문점","0616669279","notion-exact-phone-page","304da158dd2a80c3af68c9f5643e74ac","다기야치킨 여문점 전화","true","restore"
"9e0a2da7ddfa3d93","다정아구 미평","0616534018","notion-exact-phone-page","31eda158dd2a800eaa38cb8922ce7c71","다정아구 전화","true","restore"
"8a219b158c321627","닭가대표 숯불직화구이치킨 여수대표점","050713236732","notion-exact-phone-page","300da158dd2a80768e30fd53a8d0a4cf","닭가대표 숯불직화구이치킨 여수대표점 전화","true","restore"
"f31d8c5f04fb7b79","대박난쪽갈비 여수점","0616523355","notion-exact-phone-page","2feda158dd2a802cb614daa5e1e83fa6","대박난쪽갈비 여수점 전화","true","restore"
"406b4a0b39f729fc","대정식당 미평점","0616538417","notion-exact-phone-page","31eda158dd2a80fdb8d6e8f2a42ff5d6","대정식당 전화","true","restore"
"dabbebff4fca3c56","대패가1900 문수점","0616533692","notion-exact-phone-page","2ffda158dd2a808f9dffffbbd091efdd","대패가1900 문수점 전화","true","restore"
"45dc9cf61ba55263","덮덮밥 미평점","0618100222","notion-exact-phone-page","30cda158dd2a804ebd9bd99e02433494","덮덮밥 미평점 전화","true","restore"
"dc638b23f8cf3c5b","도미노피자 문수점","0616541188","notion-exact-phone-page","2eada158dd2a8068afb6f23f9db03827","도미노피자 문수점 전화","true","restore"
"1ecbe36dd1efafed","돈치킨 여수둔덕봉계점","0616815999","notion-exact-phone-page","2fcda158dd2a8071a263ca93a00491ae","돈치킨 여수둔덕봉계점 전화","true","restore"
"d6602c793047b361","뚜레쥬르 여수미평점","0616510054","notion-exact-phone-page","318da158dd2a801ba10add52f8ebe05d","뚜레쥬르 여수미평점 전화","true","restore"
"30d2edbcabcca6ec","뚜레쥬르 여수여서점","0616518806","notion-exact-phone-page","349da158dd2a8028af3ec0e3245550cf","뚜레쥬르 여수여서점 전화","true","restore"
"f7167d017e7368e7","롤링파스타 여서점","0616535922","notion-exact-phone-page","2feda158dd2a8043b837cdeb3700747b","롤링파스타 여서점 전화","true","restore"
"e0c6949efb48f4b2","롯데리아 이마트점","0616546552","notion-exact-phone-page","2e9da158dd2a80179f42c230bcb1e6d7","롯데리아 이마트점 전화","true","restore"
"2bd8ea8779f87995","리얼펍살얼음맥주 여수문수점","0616553781","notion-exact-phone-page","30cda158dd2a80c1b6a5c633a00208f0","리얼펍살얼음맥주 여수문수점 전화","true","restore"
"27ea3ca86eab89ec","린차이나(먹깨비,땡겨요로 주문시 만두 서비스!!!)","0616525695","notion-exact-phone-page","31fda158dd2a806e89c8f747903340c0","린차이나 전화","true","restore"
